sigmoid,relu,leakyRelu,elu
1.4665903015087582,1.3226193233652224,0.90662450627008662,
0.97750439409236256,0.50944778374118616,0.54040027833412108,
0.83297532813723452,0.4569211952072294,0.4846535273906683,
0.76323563504503655,0.44205248167869471,0.45289360475630869,
0.71755590789769619,0.43336556230944251,0.45341689563304671,
0.68194448237724736,0.42737881136587508,0.45216835605577888,
0.65244597940974991,0.42435694141726699,0.43530458581388892,
0.62750828037166273,0.42706900025679118,0.43130020174946471,
0.60594610390242054,0.42050009405859251,0.44583120368656398,
0.58733007303498574,0.41865295767484789,0.42799647009313219,
0.57151773131340478,0.4165687518729127,0.42643644599071567,
0.55797941092644554,0.41589499071890129,0.42634871616743669,
0.54653819348686461,0.41497310405530152,0.43127693814963308,
0.53665586184935088,0.41370205099949592,0.42683469225951531,
0.52818903192893818,0.41313914075680258,0.42635046688374167,
0.52064717836729468,0.42044316509377422,0.42390023844363828,
0.51386706883633604,0.41167222656087149,0.43624363715397901,
0.50822204855412934,0.41454570650854239,0.42391717708359988,
0.50334812034526433,0.41125268829702288,0.4245592747223797,
0.49911575940353392,0.41329435836409301,0.42197230893427151,
0.49494525133504719,0.40888693246672608,0.4252138190784695,
0.49148247890599439,0.40886515306858989,0.4233151307099659,
0.48815681597006572,0.40855224706885068,0.42135988054500279,
0.48511632782296099,0.40825885818837299,0.43934806622200462,
0.48246599516769501,0.40867366403785149,0.42152497213847312,
0.48026705839588851,0.40802501452364182,0.42161206537883889,
0.4781860165674906,0.40659245470672412,0.42121810203994831,
0.47603994624956231,0.41003806302441842,0.42422901969247162,
0.47429027129128631,0.40784093164795993,0.42649211124177439,
0.47254348816224989,0.40865911740565047,0.4214441530792658,
0.4709987597457137,0.40558568834512082,0.41840401839140878,
0.46945543791335209,0.40550341397763451,0.41901578592755451,
0.46817802802567471,0.41539974830559961,0.41879970470590872,
0.46701660182236338,0.4047159920518813,0.428616785354417,
0.46581936698712278,0.40803648402556641,0.4168469810683082,
