epoch,train_error,validate_error
1,1.3226193233652224,0.5968860692564282
2,0.5094477837411862,0.5294559454550306
3,0.4569211952072294,0.9132284853799117
4,0.44205248167869476,0.8562456450199126
5,0.4333655623094425,0.4657113681742745
6,0.4273788113658751,0.4192808143441385
7,0.424356941417267,1.444157733161843
8,0.42706900025679123,0.6078592191755355
9,0.4205000940585925,0.5217063281381646
10,0.41865295767484795,0.42762585032545386
11,0.4165687518729127,0.5428176035124819
12,0.41589499071890135,0.45185586362535646
13,0.4149731040553015,0.46778914789914483
14,0.4137020509994959,0.43522117277428485
15,0.41313914075680264,1.9712650521203343
16,0.4204431650937742,0.39853545310277455
17,0.4116722265608715,1.3629709121110345
18,0.41454570650854244,0.5560068265036776
19,0.41125268829702294,1.2367719200480967
20,0.413294358364093,0.44405203072118193
21,0.40888693246672614,0.49105532293304327
22,0.4088651530685899,0.5302631946741723
23,0.40855224706885074,0.5464006289909423
24,0.40825885818837304,0.8982507264536499
25,0.4086736640378515,0.7498938436314022
26,0.4080250145236418,0.434850423221197
27,0.40659245470672417,1.3419779456752994
28,0.4100380630244184,0.8613217474006446
29,0.4078409316479599,1.2301476382014755
30,0.40865911740565053,0.5341291848169406
31,0.4055856883451208,0.4625677297002456
32,0.4055034139776345,2.1216119003363616
33,0.4153997483055996,0.3880131559834681
34,0.4047159920518813,1.1345251550884943
35,0.40803648402556647,0.7169014259935829
36,0.4054752607950021,0.6025106620968778
37,0.40531503175433603,1.5118987438357234
38,0.40863025545837345,1.5135620825653462
39,0.4084137564641596,0.547782624516531
40,0.40397044498897766,1.0665881120376755
41,0.4056226684330303,0.3860630086666695
42,0.4028841640276602,0.38576711665980057
43,0.40327009975985034,0.7746346780827998
44,0.40450660027368823,0.9324602577099723
45,0.40511068292187097,1.5786604964492417
46,0.4074687754962752,0.46233892637964896
47,0.40236725508766863,0.38749699757697814
48,0.4019427932844647,1.0287188774176605
49,0.40469312814029673,0.6012585523460926
50,0.4023428749902411,0.6862414173529873
51,0.4028760464227298,0.9528884171749091
52,0.40361666939414903,0.9627043281122099
53,0.4036136457647635,1.3191453775697373
54,0.4055707838956829,0.4144609537437672
55,0.4010159651448438,0.4126332201706722
